lemma	iztočnica	besedna vrsta	številka pomena	indikator
trening	trening	samostalnik	2	o spretnosti ali veščini
financiranje	financiranje	samostalnik	1	zagotavljanje denarnih sredstev
fotografija	fotografija	samostalnik	1	fotografski posnetek
fotografija	fotografija	samostalnik	2	dejavnost
globalen	globalen	pridevnik	1	o svetu kot povezani celoti
globalen	globalen	pridevnik	2	o segrevanju Zemlje
globalen	globalen	pridevnik	3	celostni
grad	grad	samostalnik	1	utrdba
grad	grad	samostalnik	2	kar ima obliko gradu
grad	grad	samostalnik	3	veliko bivališče
hierarhija	hierarhija	samostalnik	1	razvrstitev po položaju ali funkciji
hierarhija	hierarhija	samostalnik	2	vodstvo organizacije
hierarhija	hierarhija	samostalnik	3	razvrstitev česa po pomembnosti
hierarhija	hierarhija	samostalnik	4	o organiziranosti elementov
hierarhija	hierarhija	samostalnik	5	sistem redov angelov
humanitaren	humanitaren	pridevnik	1	človekoljuben
humanitaren	humanitaren	pridevnik	2	o stiski ljudi
istočasno	istočasno	prislov	1	hkrati; sočasno;
istočasno	istočasno	prislov	2	uvaja dodatno dejstvo ali nasprotje
izrecno	izrecno	prislov	1	jasno
izrecen	izrecno	prislov	2	izključno
nosečnost	nosečnost	samostalnik	1	telesno stanje
pes	pes	samostalnik	1	žival
pes	pes	samostalnik	2	žaljivka
peščen	peščen	pridevnik	1	o pesku
peščen	peščen	pridevnik	2	o barvi
porod	porod	samostalnik	1	proces rojevanja
porod	porod	samostalnik	2	nastanek
poroka	poroka	samostalnik	1	o zakonski zvezi
poroka	poroka	samostalnik	2	združitev
rumen	rumen	pridevnik	1	o barvi
rumen	rumen	pridevnik	2	o tisku
rumen	rumen	pridevnik	3	kot opozorilo
rumen	rumen	pridevnik	4	posušen ali star
sestra	sestra	samostalnik	1	sorodnica
sestra	sestra	samostalnik	2	poklic
sestra	sestra	samostalnik	3	redovnica
sestra	sestra	samostalnik	4	sorodna stvar
sestra	sestra	samostalnik	5	o povezanosti ali skupni izkušnji
sin	sin	samostalnik	1	sorodnik
sin	sin	samostalnik	2	o Jezusu
sin	sin	samostalnik	3	o geopolitični pripadnosti
sin	sin	samostalnik	4	ki prevzame lastnost
sin	sin	samostalnik	5	dobrohoten, rahlo pokroviteljski nagovor starejše osebe do mlajše
diskvalificirati	diskvalificirati	glagol	1	izločiti zaradi kršenja pravil
diskvalificirati	diskvalificirati	glagol	2	vzeti veljavo
drža	drža	samostalnik	1	o telesu
drža	drža	samostalnik	2	stališče
drža	drža	samostalnik	3	o predmetu
kmetijstvo	kmetijstvo	samostalnik	1	gospodarska dejavnost
koledar	koledar	samostalnik	1	o merjenju časa
koledar	koledar	samostalnik	2	publikacija
koledar	koledar	samostalnik	3	računalniška aplikacija
koledar	koledar	samostalnik	4	razpored dejavnosti
ladja	ladja	samostalnik	1	plovilo
ladja	ladja	samostalnik	2	prostor v cerkvi
ladja	ladja	samostalnik	3	o organizirani skupini
ladja	ladja	samostalnik	4	velik avto
nafta	nafta	samostalnik	1	naravni vir
nafta	nafta	samostalnik	2	gorivo
naften	naften	pridevnik	1	o naravnem viru
naften	naften	pridevnik	2	o vrsti goriva
najemnik	najemnik	samostalnik	1	oseba, ki kaj najame
najemnik	najemnik	samostalnik	2	vojak
nakup	nakup	samostalnik	1	dejanje
nakup	nakup	samostalnik	2	kupljeno blago
novinar	novinar	samostalnik	1	pisec člankov v medijih
novinarski	novinarski	pridevnik	1	o novinarjih
obljubiti	obljubiti	glagol	1	zagotoviti
ocean	ocean	samostalnik	1	morje
ocean	ocean	samostalnik	2	velika količina
nedvomno	nedvomno	prislov	1	gotovo
nedvomno	nedvomno	prislov	2	brez dvoma; neizpodbitno;
oklevati	oklevati	glagol	1	omahovati
rumen	rumena	samostalnik	1	v prometu
rumen	rumena	samostalnik	2	barva
rumen	rumena	samostalnik	3	o tisku
patriarhat	patriarhat	samostalnik	1	družbeni sistem
patriarhat	patriarhat	samostalnik	2	o ozemlju
pokopališče	pokopališče	samostalnik	1	prostor za pokop
pokopališče	pokopališče	samostalnik	2	odlagališče vozil
pokopališče	pokopališče	samostalnik	3	o odvečnosti ali zastarelosti
potrošnik	potrošnik	samostalnik	1	kupec
potrošnik	potrošnik	samostalnik	2	porabnik; odjemalec;
potrošnik	potrošnik	samostalnik	3	o napravi
potrošnik	potrošnik	samostalnik	4	rastlina
recept	recept	samostalnik	1	za izdajo zdravila
recept	recept	samostalnik	2	pri kuhanju
recept	recept	samostalnik	3	navodilo za pripravo
recept	recept	samostalnik	4	navodilo; pravilo;
spleten	spleten	pridevnik	1	o internetu
vonj	vonj	samostalnik	1	zaznavna lastnost
vonj	vonj	samostalnik	2	dišava
vonj	vonj	samostalnik	3	voh
vonj	vonj	samostalnik	4	o občutku
