iztočnica|besedna vrsta|številka pomena|indikator
pes|samostalnik|1|žival
pes|samostalnik|2|žaljivka
peščen|pridevnik|1|o pesku
peščen|pridevnik|2|o barvi
porod|samostalnik|1|proces rojevanja
porod|samostalnik|2|nastanek
poroka|samostalnik|1|o zakonski zvezi
poroka|samostalnik|2|združitev
rumen|pridevnik|1|o barvi
rumen|pridevnik|2|o tisku
rumen|pridevnik|3|kot opozorilo
rumen|pridevnik|4|posušen ali star
sestra|samostalnik|1|sorodnica
sestra|samostalnik|2|poklic
sestra|samostalnik|3|redovnica
sestra|samostalnik|4|sorodna stvar
sestra|samostalnik|5|o povezanosti ali skupni izkušnji
sin|samostalnik|1|sorodnik
sin|samostalnik|2|o Jezusu
sin|samostalnik|3|o geopolitični pripadnosti
sin|samostalnik|4|ki prevzame lastnost
sin|samostalnik|5|dobrohoten, rahlo pokroviteljski nagovor starejše osebe do mlajše
diskvalificirati|glagol|1|izločiti zaradi kršenja pravil
diskvalificirati|glagol|2|vzeti veljavo
drža|samostalnik|1|o telesu
drža|samostalnik|2|stališče
drža|samostalnik|3|o predmetu
kmetijstvo|samostalnik|1|gospodarska dejavnost
koledar|samostalnik|1|o merjenju časa
koledar|samostalnik|2|publikacija
koledar|samostalnik|3|računalniška aplikacija
koledar|samostalnik|4|razpored dejavnosti
ladja|samostalnik|1|plovilo
ladja|samostalnik|2|prostor v cerkvi
ladja|samostalnik|3|o organizirani skupini
ladja|samostalnik|4|velik avto
nafta|samostalnik|1|naravni vir
nafta|samostalnik|2|gorivo
naften|pridevnik|1|o naravnem viru
naften|pridevnik|2|o vrsti goriva
najemnik|samostalnik|1|oseba, ki kaj najame
najemnik|samostalnik|2|vojak
nakup|samostalnik|1|dejanje
nakup|samostalnik|2|kupljeno blago
novinar|samostalnik|1|pisec člankov v medijih
novinarski|pridevnik|1|o novinarjih
obljubiti|glagol|1|zagotoviti
ocean|samostalnik|1|morje
ocean|samostalnik|2|velika količina
nedvomno|prislov|1|gotovo
nedvomno|prislov|2|brez dvoma; neizpodbitno;
oklevati|glagol|1|omahovati
rumena|samostalnik|1|v prometu
rumena|samostalnik|2|barva
rumena|samostalnik|3|o tisku
patriarhat|samostalnik|1|družbeni sistem
patriarhat|samostalnik|2|o ozemlju
pokopališče|samostalnik|1|prostor za pokop
pokopališče|samostalnik|2|odlagališče vozil
pokopališče|samostalnik|3|o odvečnosti ali zastarelosti
potrošnik|samostalnik|1|kupec
potrošnik|samostalnik|2|porabnik; odjemalec;
potrošnik|samostalnik|3|o napravi
potrošnik|samostalnik|4|rastlina
