iztočnica|besedna vrsta|številka pomena|indikator
ikozaeder|samostalnik|1|geometrijski lik
intertekstualnost|samostalnik|1|lastnost besedila
čembalistka|samostalnik|1|glasbenica
kalvinist|samostalnik|1|pripadnik kalvinizma
dvojemka|samostalnik|1|prijem
lizingojemalec|samostalnik|1|kdor dobi lizing
ceremoniar|samostalnik|1|vodja slavnosti ali obredov
oplesk|samostalnik|1|o barvnem nanosu
nadpovezava|samostalnik|1|povezava do spletne strani
sopomenka|samostalnik|1|o pomenu besede
violist|samostalnik|1|glasbenik
violistka|samostalnik|1|glasbenica
votlak|samostalnik|1|vrsta opeke
traper|samostalnik|1|lovec, ki lovi s pastmi
tvornik|samostalnik|1|glagolski način
žongler|samostalnik|1|umetnik metanja predmetov
žongler|samostalnik|2|o spretnem ravnanju
kotalka|samostalnik|1|športna obutev
entomolog|samostalnik|1|strokovnjak
faktorizirati|glagol|1|o postopku pretvorbe
apniti|glagol|1|o zemlji
abstrahirati|glagol|1|povzeti
abstrahirati|glagol|2|izločiti
abstrahirati|glagol|3|o abstraktnem prikazu
alternirati|glagol|1|izmenjavati; izmenjavati se;
armirati|glagol|1|ojačati
abortirati|glagol|1|splaviti
abortirati|glagol|2|ustaviti; prekiniti;
amnestirati|glagol|1|podeliti amnestijo
dezertirati|glagol|1|zapustiti vojsko brez dovoljenja
aromatizirati|glagol|1|dati aromo
cenzurirati|glagol|1|odstranjevati sporne vsebine
cenzurirati|glagol|2|omejevati dejanja ali izjave
demonstrirati|glagol|1|protestirati
demonstrirati|glagol|2|prikazati
deževati|glagol|1|o dežju
deževati|glagol|2|o predmetih
deževati|glagol|3|zgrinjati se
diplomirati|glagol|1|zaključiti študij
diskreditirati|glagol|1|zmanjšati ugled
diskreditirati|glagol|2|vzeti veljavo
degradirati|glagol|1|znižati veljavo
degradirati|glagol|2|o položaju ali delovnem mestu
degradirati|glagol|3|prizadejati škodo
hirati|glagol|1|postajati slaboten
hirati|glagol|2|propadati
kamenjati|glagol|1|obmetavati s kamni
kašljati|glagol|1|o človeku
kašljati|glagol|2|o vozilih in motorjih
večerjati|glagol|1|jesti večerjo
zanositi|glagol|1|o ženski
filozofirati|glagol|1|razglabljati kot filozof
filozofirati|glagol|2|dolgoveziti
pordečiti|glagol|1|obarvati z rdečo
racionirati|glagol|1|deliti v omejenih količinah
kavdrati|glagol|1|o oglašanju
prevajati|glagol|1|o jezikih
prevajati|glagol|2|prenašati energijo
prevajati|glagol|3|prenašati dražljaje
prevajati|glagol|4|o kodi
prevajati|glagol|5|pretvoriti v drugačno obliko
zahupati|glagol|1|potrobiti
jecljati|glagol|1|o govorni napaki
jecljati|glagol|2|nejasno izražati se
zmnožiti|glagol|1|pri računanju
anulirati|glagol|1|razveljaviti; preklicati;
anulirati|glagol|2|izničiti
izjecljati|glagol|1|jecljaje povedati
kršiti|glagol|1|o neupoštevanju pravil
uročiti|glagol|1|začarati z magijo
uročiti|glagol|2|očarati; prevzeti;
uročiti|glagol|3|prinesti nesrečo
kovati|glagol|1|načrtovati
kovati|glagol|2|ustvarjati
kovati|glagol|3|pisati; oblikovati;
kovati|glagol|4|izdelovati iz kovine
maltretirati|glagol|1|grdo ravnati z; trpinčiti;
nabosti|glagol|1|natakniti; napičiti;
nabosti|glagol|2|narediti več vbodov
nabosti|glagol|3|zapičiti; vstaviti;
nahruliti|glagol|1|nadreti; ostro ošteti;
paralizirati|glagol|1|ohromiti
paralizirati|glagol|2|ustaviti; onemogočati;
dlakocepiti|glagol|1|po nepotrebnem komplicirati
vcepiti|glagol|1|vsaditi v zavest; privzgojiti;
vcepiti|glagol|2|vnesti v organizem
vcepiti|glagol|3|narediti, da ima kaj določeno lastnost
vcepiti|glagol|4|vstaviti cepič v rastlino
nabasati|glagol|1|natrpati
nabasati|glagol|2|naleteti
sitnariti|glagol|1|nergati
sitnariti|glagol|2|zahtevati; gnjaviti;
aproksimirati|glagol|1|približno oceniti
anestezirati|glagol|1|dati anestezijo
anestezirati|glagol|2|narediti neobčutljivo
sestankovati|glagol|1|imeti sestanek
zaarati|glagol|1|plačati predujem
sponzorirati|glagol|1|finančno podpirati
vlomiti|glagol|1|na silo vstopiti
zveneti|glagol|1|zdeti se
zveneti|glagol|2|oddajati zvok
demoralizirati|glagol|1|odvzeti upanje
adsorbirati|glagol|1|zgoščevati
groziti|glagol|1|o ljudeh ali nasprotnikih
groziti|glagol|2|o nesrečah ali katastrofah
poveriti|glagol|1|dodeliti nalogo
kolesariti|glagol|1|voziti se s kolesom
kotalkati|glagol|1|voziti se s kotalkami
rolkati|glagol|1|voziti se z rolko
kegljati|glagol|1|podirati keglje
geometrično|prislov|1|o geometriji
dvoumno|prislov|1|nejasno
dvoumno|prislov|2|z mešanimi občutki
junaško|prislov|1|pogumno
korenito|prislov|1|temeljito; radikalno;
akustično|prislov|1|zvočno; slušno;
akustično|prislov|2|o igranju na akustični inštrument
analitično|prislov|1|podrobno
zaman|prislov|1|brez uspeha
zaman|prislov|2|brez razloga
konkavno|prislov|1|vbočeno
jalovo|prislov|1|brez pozitivnega rezultata
vestno|prislov|1|pridno; dosledno;
pošteno|prislov|1|v veliki meri; precej;
pošteno|prislov|2|moralno ustrezno
pesimistično|prislov|1|negativno
petdesetkrat|prislov|1|s petdesetimi ponovitvami
razburljivo|prislov|1|na vznemirljiv način
paralelno|prislov|1|hkrati; sočasno;
paralelno|prislov|2|vzporedno; drug ob drugem;
slovnično|prislov|1|glede na slovnico
malokdaj|prislov|1|redko
znatno|prislov|1|precej
asimetrično|prislov|1|nesomerno
tipično|prislov|1|na značilen način
tipično|prislov|2|običajno
altruist|samostalnik|1|altruističen človek
anarhistka|samostalnik|1|privrženka anarhizma
apostat|samostalnik|1|odpadnik
žeparka|samostalnik|1|tatica
advokatka|samostalnik|1|odvetnica
akviziterstvo|samostalnik|1|prodaja po hišah
zemljepisec|samostalnik|1|strokovnjak
bevskanje|samostalnik|1|o oglašanju živali
bevskanje|samostalnik|2|zadirčno govorjenje
aspirant|samostalnik|1|kandidat
vrač|samostalnik|1|plemenski modrec in zdravilec
zahvala|samostalnik|1|izraz hvaležnosti
zahvala|samostalnik|2|listina
atol|samostalnik|1|koralni otok
žena|samostalnik|1|soproga
žena|samostalnik|2|ženska
konosament|samostalnik|1|listina
violinistka|samostalnik|1|glasbenica
violinist|samostalnik|1|glasbenik
žepnina|samostalnik|1|o otrocih
žepnina|samostalnik|2|o zaslužku
čelist|samostalnik|1|glasbenik
čeber|samostalnik|1|velika posoda
arašid|samostalnik|1|zemeljski orešek
arašid|samostalnik|2|rastlina
percentil|samostalnik|1|statistična merska enota
pozavnist|samostalnik|1|glasbenik
punker|samostalnik|1|glasbenik
punker|samostalnik|2|ljubitelj punk glasbe
jasnovidka|samostalnik|1|napovedovalka prihodnosti
batik|samostalnik|1|tkanina
batik|samostalnik|2|tehnika barvanja
asteroid|samostalnik|1|majhen planet
anatom|samostalnik|1|strokovnjak
avdiokaseta|samostalnik|1|nosilec zvoka
avtokarta|samostalnik|1|zemljevid
bigamist|samostalnik|1|moški z dvema ženama
agnostik|samostalnik|1|privrženec agnosticizma
bibliobus|samostalnik|1|avtobus s knjižnico
bikoborec|samostalnik|1|kdor se bori z bikom
jelenček|samostalnik|1|majhen jelen; jelenji mladič;
jagoda|samostalnik|1|rastlina
jagoda|samostalnik|2|plod
jagoda|samostalnik|3|okrogel plod
jagoda|samostalnik|4|droben predmet
čevljarstvo|samostalnik|1|dejavnost
čevljarstvo|samostalnik|2|trgovina ali podjetje
piccolo|samostalnik|1|pihalo
antidot|samostalnik|1|protistrup
antidot|samostalnik|2|o rešitvi
adventist|samostalnik|1|pripadnik verske skupnosti
biograf|samostalnik|1|avtor biografij
bibavica|samostalnik|1|plimovanje
steklopihalec|samostalnik|1|izdelovalec steklenih izdelkov
apsida|samostalnik|1|polkrožni prostor
estuarij|samostalnik|1|lijakast izliv reke
husit|samostalnik|1|pripadnik husitstva
lutnjar|samostalnik|1|glasbenik
naftovod|samostalnik|1|cevovod za nafto
žurnalistka|samostalnik|1|novinarka
beduin|samostalnik|1|arabski nomad
samorog|samostalnik|1|bajeslovna žival
samorog|samostalnik|2|kit
alegorija|samostalnik|1|zgodba ali slika
alegorija|samostalnik|2|prispodoba
ampula|samostalnik|1|steklenička
ampula|samostalnik|2|posoda za sveto olje
ampula|samostalnik|3|del organa
akviziter|samostalnik|1|prodajalec
amfiteater|samostalnik|1|v antični Grčiji in Rimu
amfiteater|samostalnik|2|v sodobnosti
amfiteater|samostalnik|3|naravni prostor okrogle ali ovalne oblike
senik|samostalnik|1|prostor za seno
analgetik|samostalnik|1|zdravilo
apokalipsa|samostalnik|1|konec sveta
apokalipsa|samostalnik|2|katastrofa
aristokracija|samostalnik|1|privilegiran družbeni sloj
aristokracija|samostalnik|2|izbran krog ljudi
aristokracija|samostalnik|3|oblika vladavine
aristokracija|samostalnik|4|aristokratskost
azil|samostalnik|1|mednarodna zaščita
azil|samostalnik|2|zavetišče za živali
azil|samostalnik|3|zavetišče za ljudi
članarina|samostalnik|1|denarni prispevek člana
arboretum|samostalnik|1|ustanova za ogled rastlin
akviziterka|samostalnik|1|prodajalka
kohorta|samostalnik|1|starorimska vojaška enota
brom|samostalnik|1|kemijski element
vodik|samostalnik|1|kemijski element
radij|samostalnik|1|kemijski element
radij|samostalnik|2|polmer
radij|samostalnik|3|območje
radij|samostalnik|4|o delovanju naprav
radij|samostalnik|5|o obliki smuči
kositer|samostalnik|1|kemijski element
tantal|samostalnik|1|kemijski element
deskar|samostalnik|1|po snegu
deskar|samostalnik|2|po vodi
deskar|samostalnik|3|kdor brska po spletu
deskarka|samostalnik|1|pri zimskem športu
deskarka|samostalnik|2|pri vodnem športu
jahačica|samostalnik|1|športnica
jahačica|samostalnik|2|pri spolnem odnosu
jahalka|samostalnik|1|športnica
klif|samostalnik|1|pečina
muzikal|samostalnik|1|glasbena predstava
hibiskus|samostalnik|1|rastlina
breskov|pridevnik|1|v kulinariki
breskov|pridevnik|2|o drevesu
breskov|pridevnik|3|o plodu
breskov|pridevnik|4|o barvi
breskov|pridevnik|5|o snovi
baobab|samostalnik|1|drevo
bodika|samostalnik|1|drevo ali grm
bodika|samostalnik|2|riba
bukovina|samostalnik|1|les
bukovina|samostalnik|2|bukova drevesa
cibora|samostalnik|1|plod
cibora|samostalnik|2|drevo
figovec|samostalnik|1|drevo
glog|samostalnik|1|drevo ali grm
glog|samostalnik|2|zdravilni pripravek
panešplja|samostalnik|1|grm
plutovina|samostalnik|1|skorja hrasta plutovca
plutovina|samostalnik|2|kot surovina ali izdelek
resa|samostalnik|1|grm
resa|samostalnik|2|okrasni trakec
resa|samostalnik|3|pri žitu in travah
resa|samostalnik|4|lasje ali dlake
lovorov|pridevnik|1|o drevesu ali delu drevesa
kosteničevje|samostalnik|1|grm
krčnica|samostalnik|1|grm
krčnica|samostalnik|2|obolenje ven
lovor|samostalnik|1|drevo ali grm
lovor|samostalnik|2|začimba
lovor|samostalnik|3|priznanje; naslov;
malinjak|samostalnik|1|grm
malinjak|samostalnik|2|nasad malin
mangovec|samostalnik|1|drevo
mango|samostalnik|1|drevo
mango|samostalnik|2|plod
medvejka|samostalnik|1|grm
mokovec|samostalnik|1|drevo
nagnoj|samostalnik|1|drevo
oliva|samostalnik|1|plod
oliva|samostalnik|2|drevo
jadikovec|samostalnik|1|drevo
jagodičnica|samostalnik|1|grm
kapokovec|samostalnik|1|drevo
pomaranča|samostalnik|1|plod
pomaranča|samostalnik|2|drevo
breza|samostalnik|1|drevo
iglavec|samostalnik|1|drevo
jelka|samostalnik|1|drevo
jelka|samostalnik|2|novoletna jelka
pomarančen|pridevnik|1|o drevesu ali delu drevesa
pomarančen|pridevnik|2|v kulinariki
pomarančen|pridevnik|3|o plodu
pomarančen|pridevnik|4|o pojavu na koži
pomarančen|pridevnik|5|o snovi
brezovina|samostalnik|1|les
brusnica|samostalnik|1|plod
brusnica|samostalnik|2|grm
gvajava|samostalnik|1|sadež
gvajava|samostalnik|2|drevo ali grm
javorovina|samostalnik|1|les
jesenovina|samostalnik|1|les
palmovec|samostalnik|1|drevo
palmovec|samostalnik|2|ptica
pomarančevec|samostalnik|1|drevo
pušpan|samostalnik|1|grm
saguaro|samostalnik|1|drevo
sandalovina|samostalnik|1|les
sandalovina|samostalnik|2|esenca
šipek|samostalnik|1|grm
šipek|samostalnik|2|plod
smokva|samostalnik|1|plod
smokva|samostalnik|2|drevo ali grm
smokvovec|samostalnik|1|drevo
smrekovina|samostalnik|1|les
tikovina|samostalnik|1|les
topolovina|samostalnik|1|les
tulipanovec|samostalnik|1|drevo
višnja|samostalnik|1|drevo
višnja|samostalnik|2|plod
vrbovina|samostalnik|1|les
lešnikov|pridevnik|1|v kulinariki
lešnikov|pridevnik|2|o plodu
lešnikov|pridevnik|3|o barvi
oliven|pridevnik|1|o barvi
oliven|pridevnik|2|v kulinariki
oliven|pridevnik|3|v kozmetiki
oliven|pridevnik|4|o drevesu
orehov|pridevnik|1|v kulinariki
orehov|pridevnik|2|o drevesu ali delu drevesa
orehov|pridevnik|3|izdelan iz lesa oreha
orehov|pridevnik|4|o plodu
kostanjevina|samostalnik|1|les
macesnovina|samostalnik|1|les
mandarinovec|samostalnik|1|drevo
palma|samostalnik|1|drevo
dren|samostalnik|1|medicinska oprema
pomarančast|pridevnik|1|o koži
pomarančast|pridevnik|2|o barvi
jablana|samostalnik|1|drevo
jerebika|samostalnik|1|drevo
jerebika|samostalnik|2|plod
kokos|samostalnik|1|plod
kokos|samostalnik|2|drevo
ricinus|samostalnik|1|olje
ricinus|samostalnik|2|grm
ringlo|samostalnik|1|plod
ringlo|samostalnik|2|drevo
kalina|samostalnik|1|grm
kininovec|samostalnik|1|drevo
oslez|samostalnik|1|rastlina
limetin|pridevnik|1|v kulinariki
mahagonijev|pridevnik|1|izdelan iz mahagonijevega lesa
mahagonijev|pridevnik|2|o drevesu ali delu drevesa
mahagonijev|pridevnik|3|o barvi
orehovina|samostalnik|1|les
anektirati|glagol|1|priključiti
domnevati|glagol|1|predvidevati
akvamarinski|pridevnik|1|zelenkasto moder
abiotski|pridevnik|1|o neživem delu narave
alkoholičen|pridevnik|1|o alkoholikih
antitetičen|pridevnik|1|nasprotujoč si
zemljemerski|pridevnik|1|o zemljemerstvu
aforističen|pridevnik|1|o aforizmu
altruističen|pridevnik|1|o etični drži
bifokalen|pridevnik|1|dvožariščen
flegmatičen|pridevnik|1|ravnodušen
adventiven|pridevnik|1|nadomesten
akumulativen|pridevnik|1|o denarnih sredstvih
akumulativen|pridevnik|2|ki se zbira ali kopiči
anglofonski|pridevnik|1|o nekdanjih britanskih kolonijah
antikorozijski|pridevnik|1|proti rji
antikvaren|pridevnik|1|o antikvariatu
arhitektski|pridevnik|1|o arhitektih ali arhitekturi
aristotelski|pridevnik|1|o Aristotelovi filozofiji
aseksualen|pridevnik|1|nespolen; ki ga spolnost ne zanima;
aplikativen|pridevnik|1|o uporabi v praksi
aplikativen|pridevnik|2|o računalniku
čuten|pridevnik|1|povezan s čuti
čuten|pridevnik|2|telesen, kot nasprotje umskemu
čuten|pridevnik|3|ki vzburja čute
didaktičen|pridevnik|1|o poučevanju
didaktičen|pridevnik|2|o literarnih delih
didaktičen|pridevnik|3|o igračah
dvoličen|pridevnik|1|hinavski
hlapen|pridevnik|1|ki prehaja v plinsko stanje
košat|pridevnik|1|o laseh in dlakah
košat|pridevnik|2|o rastlinah
košat|pridevnik|3|o oblačilih
koščen|pridevnik|1|iz kosti
koščen|pridevnik|2|zelo suh
vsakodneven|pridevnik|1|ki se dogaja vsak dan
vsakodneven|pridevnik|2|običajen
vzorčast|pridevnik|1|z vzorcem
aristotelovski|pridevnik|1|o Aristotelovi filozofiji
filigranski|pridevnik|1|o tehniki izdelovanja okraskov
filigranski|pridevnik|2|zelo natančen in premišljen
jelenji|pridevnik|1|o živali
jelenji|pridevnik|2|v kulinariki
jelenji|pridevnik|3|o izdelkih
majčken|pridevnik|1|zelo majhen
tiptop|pridevnik|1|brez napake
znosen|pridevnik|1|še sprejemljiv
zvezdnat|pridevnik|1|poln zvezd
zvezdnat|pridevnik|2|v obliki zvezde
zvezdnat|pridevnik|3|čaroben; nepozaben;
nereaktiven|pridevnik|1|kemično neodziven
brezvoden|pridevnik|1|brez vode
brezvoden|pridevnik|2|ki ne vsebuje vode
bazičen|pridevnik|1|o kemijski sestavi
bazičen|pridevnik|2|o učinku živil na telo
bazičen|pridevnik|3|osnoven; temeljni;
bazičen|pridevnik|4|o športni pripravljenosti
deževen|pridevnik|1|o dežju
deževen|pridevnik|2|z veliko dežja
vulkanski|pridevnik|1|o ognjeniški gori
vulkanski|pridevnik|2|ki je rezultat delovanja ognjeniške gore
vulkanski|pridevnik|3|silovit
džezovski|pridevnik|1|o džez glasbi
jalov|pridevnik|1|ki ne prinese uspeha
jalov|pridevnik|2|neuresničen
jalov|pridevnik|3|neosnovan
jalov|pridevnik|4|nesmiseln; brez vrednosti;
jalov|pridevnik|5|neploden
jalov|pridevnik|6|nerodoviten
jantaren|pridevnik|1|o snovi
jantaren|pridevnik|2|o barvi
jajčast|pridevnik|1|o obliki
cerkven|pridevnik|1|o zgradbi
cerkven|pridevnik|2|o instituciji
cerkven|pridevnik|3|o obredih in praksah
cerkven|pridevnik|4|o verovanju
cerkven|pridevnik|5|neposveten
kreativen|pridevnik|1|ustvarjalen; inovativen;
kreativen|pridevnik|2|ki razvija nove ideje ali izdelke
tanljiv|pridevnik|1|o tanjšanju
vešč|pridevnik|1|sposoben; spreten;
gorat|pridevnik|1|z veliko gorami
škrobnat|pridevnik|1|ki vsebuje škrob
karirast|pridevnik|1|o vzorcu iz kar
kozmetičen|pridevnik|1|o negi telesa
kozmetičen|pridevnik|2|malenkosten; nebistven;
časnikarski|pridevnik|1|o časnikarstvu ali časnikarjih
administracijski|pridevnik|1|o upravljanju in organizaciji
administracijski|pridevnik|2|v računalništvu
rajni|pridevnik|1|umrli
rajni|pridevnik|2|nekdanji
razbojniški|pridevnik|1|o razbojnikih
močvirnat|pridevnik|1|močviren
nečitljiv|pridevnik|1|neberljiv; nerazločen;
pankovski|pridevnik|1|o glasbi
pankovski|pridevnik|2|o stilu
paranormalen|pridevnik|1|nadnaraven
pianističen|pridevnik|1|o igranju klavirja
rahločuten|pridevnik|1|nežen; občutljiv;
rahločuten|pridevnik|2|razumevajoč
rahločuten|pridevnik|3|o zgodbi
rahločuten|pridevnik|4|o zvoku ali podobi
jasnoviden|pridevnik|1|o napovedovanju prihodnosti
sladkosned|pridevnik|1|kdor ima rad sladko
evfemističen|pridevnik|1|olepševalen
sajast|pridevnik|1|ki vsebuje saje
sajast|pridevnik|2|umazan zaradi saj
sajast|pridevnik|3|o barvi
nadomestljiv|pridevnik|1|pogrešljiv; zamenljiv;
nadomestljiv|pridevnik|2|popravljiv; odpravljiv;
pacifističen|pridevnik|1|o nasprotovanju vojni
čeljusten|pridevnik|1|o delu telesa
deformiran|pridevnik|1|nepravilno oblikovan; izmaličen;
deformiran|pridevnik|2|trajno spremenjen
želodčen|pridevnik|1|o organu
satenast|pridevnik|1|iz satena
satenast|pridevnik|2|gladek in sijoč
veterinarski|pridevnik|1|o veterini kot vedi in dejavnosti
zdravstven|pridevnik|1|o zdravstvu
zdravstven|pridevnik|2|o zdravju ali zdravljenju
algebrajski|pridevnik|1|o algebri
centrističen|pridevnik|1|o političnem prepričanju
aksialen|pridevnik|1|o osi
algebrski|pridevnik|1|o algebri
asistentski|pridevnik|1|o strokovnem pomočniku
impliciten|pridevnik|1|posredno izražen
potencialen|pridevnik|1|mogoč
dispergiran|pridevnik|1|o razpršenosti
slankast|pridevnik|1|malce slan
studiozen|pridevnik|1|zelo natančen in strokoven
adiabaten|pridevnik|1|o termodinamičnih procesih
apologetski|pridevnik|1|branilen; opravičevalen;
apologetski|pridevnik|2|povezan z doktrino apologetike
zunajsezonski|pridevnik|1|ki ni v času sezone
izvensezonski|pridevnik|1|ki ni v času sezone
skuštran|pridevnik|1|razmršen
nenaglašen|pridevnik|1|izgovorjen brez naglasa
nenaglašen|pridevnik|2|neizrazit
neberljiv|pridevnik|1|nerazločen
neberljiv|pridevnik|2|naporen za branje
dramski|pridevnik|1|o dramski umetnosti
češpljev|pridevnik|1|v kulinariki
češpljev|pridevnik|2|o drevesu
saudski|pridevnik|1|o Savdski Arabiji in Saudijcih
gruzijski|pridevnik|1|o Gruziji in Gruzijcih
francoski|pridevnik|1|o Franciji in Francozih
florentinski|pridevnik|1|o Firencah in Firenčanih
rimljanski|pridevnik|1|o Antičnem Rimu in Rimljanih
samojski|pridevnik|1|o Samoi in Samojcih
kamboški|pridevnik|1|o Kambodži in Kambodžanih
šrilanški|pridevnik|1|o Šrilanki in Šrilančanih
nizozemski|pridevnik|1|o Nizozemski in Nizozemcih
čilski|pridevnik|1|o Čilu in Čilencih
evropejski|pridevnik|1|o Evropejcih
vandalski|pridevnik|1|o namernem uničevanju
vandalski|pridevnik|2|o Vandalih
ameriški|pridevnik|1|o ZDA
ameriški|pridevnik|2|o celini
jamajški|pridevnik|1|o Jamajki in Jamajčanih
helenski|pridevnik|1|o Helenih
azerbajdžanski|pridevnik|1|o Azerbajdžanu in Azerbajdžancih
afganistanski|pridevnik|1|o Afganistanu in Afganistancih
latvijski|pridevnik|1|o Latviji in Latvijcih
mjanmarski|pridevnik|1|o Mjanmaru in Mjanmarcih
vikinški|pridevnik|1|o Vikingih
vikinški|pridevnik|2|o lastnosti ali obnašanju
litovski|pridevnik|1|o Litvi in Litovcih
turški|pridevnik|1|o Turčiji in Turkih
turški|pridevnik|2|o Osmanskem cesarstvu
germanski|pridevnik|1|o Germanih
germanski|pridevnik|2|o območju
germanski|pridevnik|3|o jezikovni skupini
germanski|pridevnik|4|o lastnosti
burski|pridevnik|1|o Burih
burski|pridevnik|2|o pasmi koz
latinoameriški|pridevnik|1|o Latinski Ameriki in Latinoameričanih
latinskoameriški|pridevnik|1|o Latinski Ameriki in Latinskoameričanih
sirijski|pridevnik|1|o Siriji in Sirijcih
evropski|pridevnik|1|o celini
evropski|pridevnik|2|o Evropski uniji
sirski|pridevnik|1|o Siriji in Sircih
ZDA|samostalnik|1|država
savdski|pridevnik|1|o Savdski Arabiji in Savdijcih
firenški|pridevnik|1|o Firencah in Firenčanih
kubanka|samostalnik|1|cigara
havanka|samostalnik|1|cigara
maltežan|samostalnik|1|pes
samojed|samostalnik|1|pes
litvanski|pridevnik|1|o Litvi in Litvancih
škotščina|samostalnik|1|jezik
bageta|samostalnik|1|kruh
kromanjonec|samostalnik|1|človek iz poznega paleolitika
gnom|samostalnik|1|mitološko bitje
embriolog|samostalnik|1|strokovnjak
agrikultura|samostalnik|1|dejavnost
aretiranec|samostalnik|1|aretirana oseba
agitatorstvo|samostalnik|1|novačenje koga za kaj
cingljanje|samostalnik|1|zvonjenje
arhaičnost|samostalnik|1|starinskost
arhaičnost|samostalnik|2|zastarelost
empatija|samostalnik|1|sočutje
evro|samostalnik|1|valuta
evro|samostalnik|2|območje evra
helikopter|samostalnik|1|letalsko prevozno sredstvo
hišnik|samostalnik|1|vzdrževalec objekta
karizma|samostalnik|1|značajska lastnost
karizma|samostalnik|2|nadnaravna sposobnost
koreografinja|samostalnik|1|poklic
korespondenca|samostalnik|1|pisna sporočila
korespondenca|samostalnik|2|povezava
tvid|samostalnik|1|tkanina
utaja|samostalnik|1|prikrivanje dohodka
vnuk|samostalnik|1|potomec
vstopnina|samostalnik|1|plačilo za vstop
zapestje|samostalnik|1|del roke
magnetofon|samostalnik|1|zvočna naprava
manikira|samostalnik|1|kozmetična nega rok
manikura|samostalnik|1|kozmetična nega rok
jecljanje|samostalnik|1|govorna napaka
jecljanje|samostalnik|2|nejasno izražanje
cucelj|samostalnik|1|za pitje
cucelj|samostalnik|2|kot duda
krepostnež|samostalnik|1|kreposten človek
malodušnež|samostalnik|1|malodušen človek
jamranje|samostalnik|1|tarnanje
gugalnik|samostalnik|1|gugalni stol
gumijevka|samostalnik|1|policijski pripomoček
komplementar|samostalnik|1|družbenik
kriptonim|samostalnik|1|skrivno ime
klimatologija|samostalnik|1|podnebjeslovje
dialog|samostalnik|1|med nasprotnima stranema
dialog|samostalnik|2|pogovor med osebama
hijacinta|samostalnik|1|okrasna rastlina
karies|samostalnik|1|zobna gniloba
kašelj|samostalnik|1|krčevito izdihavanje zraka
krt|samostalnik|1|žival
krt|samostalnik|2|vohun
žarnica|samostalnik|1|pripomoček za osvetlitev
koreograf|samostalnik|1|poklic
altruizem|samostalnik|1|nesebičnost
gojzar|samostalnik|1|pohodni čevelj
jadikovanje|samostalnik|1|tarnanje
aspirantka|samostalnik|1|kandidatka
aspirantka|samostalnik|2|o državi
prvotisk|samostalnik|1|knjiga
mezolitik|samostalnik|1|obdobje prazgodovine
kmetija|samostalnik|1|o posestvu
protirevolucija|samostalnik|1|nasprotovanje revoluciji
reeksport|samostalnik|1|ponovni izvoz
virus|samostalnik|1|povzročitelj bolezni
virus|samostalnik|2|v računalništvu
virus|samostalnik|3|hitro rastoč trend
hazarder|samostalnik|1|kdor rad stavi
hazarder|samostalnik|2|kdor rad veliko tvega
ribolov|samostalnik|1|lovljenje rib
termofor|samostalnik|1|grelni pripomoček
žalivec|samostalnik|1|kdor žali
trobentica|samostalnik|1|rastlina
timijan|samostalnik|1|začimbna rastlina
četverka|samostalnik|1|skupina štirih
maltretiranje|samostalnik|1|grdo ravnanje
nalivnik|samostalnik|1|pisalo
parafin|samostalnik|1|snov
pastila|samostalnik|1|zdravilo
pastinak|samostalnik|1|zelenjava
peščišče|samostalnik|1|sredica s pečkami pri sadju
petrolejka|samostalnik|1|svetilka na petrolej
pisoar|samostalnik|1|moško stranišče
plastenjak|samostalnik|1|rastlinjak
podlaket|samostalnik|1|del roke
posvojenka|samostalnik|1|posvojena hči
kalašnikovka|samostalnik|1|avtomatska puška
kontrarevolucija|samostalnik|1|nasprotovanje revoluciji
debakel|samostalnik|1|velik polom ali poraz
radoživost|samostalnik|1|razigranost; živahnost;
kalitev|samostalnik|1|pri rastlinah
kalitev|samostalnik|2|o prekršku
kancler|samostalnik|1|predsednik vlade
jasnovidnost|samostalnik|1|sposobnost napovedovanja prihodnosti
embaliranje|samostalnik|1|opremljanje z embalažo
jasnovidec|samostalnik|1|napovedovalec prihodnosti
histogram|samostalnik|1|vrsta grafikona
nadangel|samostalnik|1|angel
plešavost|samostalnik|1|neporaščenost lasišča
raketomet|samostalnik|1|orožje
kadilka|samostalnik|1|ženska, ki kadi
simpatičnost|samostalnik|1|prijetnost; prikupnost;
sirar|samostalnik|1|izdelovalec sira
skafander|samostalnik|1|zaščitna obleka
slonovina|samostalnik|1|material
slum|samostalnik|1|revna mestna četrt
porečje|samostalnik|1|rečni sistem
slačifant|samostalnik|1|poklicni plesalec
striptizer|samostalnik|1|performer
slivovka|samostalnik|1|alkoholna pijača
hipodrom|samostalnik|1|konjsko dirkališče
voditelj|samostalnik|1|v politiki in religiji
voditelj|samostalnik|2|povezovalec programa
biokemik|samostalnik|1|strokovnjak
bitumen|samostalnik|1|vezivna snov
brusilo|samostalnik|1|pripomoček za brušenje
čemernež|samostalnik|1|čemeren človek
čemernost|samostalnik|1|o razpoloženju
četrtletnik|samostalnik|1|publikacija
človekoljub|samostalnik|1|kdor ima rad ljudi
debelušnost|samostalnik|1|telesna lastnost
destilarna|samostalnik|1|tovarna
devetdesetletnik|samostalnik|1|devetdesetletni moški
biokmetijstvo|samostalnik|1|način kmetovanja
legenda|samostalnik|1|zgodba
legenda|samostalnik|2|slaven človek
legenda|samostalnik|3|pojasnilo
karavela|samostalnik|1|vrsta jadrnice
